key,red1,red2,red3,blue1,blue2,blue3,red_score,blue_score
2018arli_qm78,5721,1912,6640,6186,5550,3160,93,352
2018arli_qm79,6492,7066,2183,4005,1700,2773,321,54
2018arli_qm8,3039,5002,6855,6474,5437,6186,139,326
2018arli_qm80,31,6131,4523,6055,3039,5178,227,409
2018arli_qm81,7263,2395,1209,6855,701,4209,246,290
2018arli_qm82,2080,3991,34,6586,3616,5002,153,319
2018arli_qm83,5006,4635,5568,4403,5729,5550,395,82
2018arli_qm84,4576,6474,6492,6640,1818,3937,232,302
2018arli_qm85,7106,364,6055,3310,7123,5721,277,309
2018arli_qm86,701,5437,7260,6840,4209,2992,321,209
2018arli_qm87,1209,6186,6586,7263,7066,4005,259,125
2018arli_qm88,3160,5454,34,3991,4523,323,167,409
2018arli_qm89,6855,6647,31,1700,3616,4635,250,359
2018arli_qm9,701,2183,6586,4635,5454,5721,196,220
2018arli_qm90,1912,5006,2183,5178,7075,2395,298,96
2018arli_qm91,3039,1764,4400,4403,16,2080,233,439
2018arli_qm92,5002,2773,7106,3337,6131,701,259,261
2018arli_sf1m1,16,3310,7123,323,6055,3337,341,343
2018arli_sf1m2,16,3310,7123,323,6055,3337,447,200
2018arli_sf1m3,16,3310,7123,323,6055,3337,365,217
2018arli_sf2m1,364,3937,4576,3616,4635,6131,350,314
2018arli_sf2m2,364,3937,4576,3616,4635,6131,418,301
2018aroz_f1m1,3937,16,5729,5006,323,6640,-1,-1
2018aroz_f1m2,3937,16,5729,5006,323,6640,-1,-1
2018aroz_f1m3,3937,16,5729,5006,323,6640,-1,-1
2018aroz_qf1m1,3937,16,5729,9996,9995,9998,-1,-1
2018aroz_qf1m2,3937,16,5729,9996,9995,9998,-1,-1
2018aroz_qf2m1,5568,5930,4356,7123,5454,4635,-1,-1
2018aroz_qf2m2,5568,5930,4356,7123,5454,4635,-1,-1
2018aroz_qf2m3,5568,5930,4356,7123,5454,4635,-1,-1
2018aroz_qf3m1,5006,323,6640,9991,9988,9993,-1,-1
2018aroz_qf3m2,5006,323,6640,9991,9988,9993,-1,-1
2018aroz_qf4m1,5437,6055,9001,9002,5045,7075,-1,-1
2018aroz_qf4m2,5437,6055,9001,9002,5045,7075,-1,-1
2018aroz_qf4m3,5437,6055,9001,9002,5045,7075,-1,-1
2018aroz_qm1,5437,5568,4635,3937,5045,6640,394,166
